route	surface	name
/ui/timeline-view	reference	UI.TimelineView
/unauthorized	auth	Unauthorized
/user-profile	app	User-Profile
/user-settings	app	User-Settings
/users-teams	app	UsersTeams
/vat-settings	app	VAT-Settings
/vehicle-checklist	app	Vehicle-Checklist
/vehicle-detail	app	VehicleDetail
/vehicle-health-monitoring	app	Vehicle-Health-Monitoring
/vehicle-history	app	Vehicle-History
/vehicle-inspections	app	Vehicle-Inspections
/vehicle-storage	app	Vehicle-Storage
/vehicle-tracking	app	Vehicle-Tracking
/vehicles	app	Vehicles
/vehicles-list	app	Vehicles-List
/vendor-supplier-portal	app	Vendor-Supplier-Portal
/video-consultations	app	Video-Consultations
/video-estimates	app	Video-Estimates
/vin-decoder	app	VIN-Decoder
/voice-command-interface	app	Voice-Command-Interface
/voice-commands	app	Voice-Commands
/vr-showroom	app	VR-Showroom
/warranty-management	app	Warranty-Management
/wearable-integration	app	Wearable-Integration
/welcome	auth	Welcome
/welcome-page	app	Welcome-Page
/whats-app-campaigns	app	WhatsAppCampaigns
/workflow-builder	app	WorkflowBuilder
/workshop-calendar	app	Workshop-Calendar
/workshop-check-in	app	WorkshopCheckIn
/workshop-delivery	app	WorkshopDelivery
/workshop-estimate	app	WorkshopEstimate
/workshop-inspection	app	WorkshopInspection
/workshop-qc	app	WorkshopQC
/workshop-reports	app	WorkshopReports
/workshop-signature	app	WorkshopSignature
/workspace-selection	auth	WorkspaceSelection
/zakat-settings	app	Zakat-Settings
/zatca-settings	app	ZATCA-Settings
